"","Flow","Longitude","Latitude"
"1",517.985,-113.61,37.026
"2",670.6,-113.5975,37.04
"3",1130.11,-113.58,37.07
"4",1111.48,-113.58,37.08
"5",971.065,-113.58,37.08
"6",948.83,-113.57,37.09
"7",977.815,-113.56,37.11
"8",1207.685,-113.55,37.12
"9",1213.535,-113.54375,37.12
"10",1102.36,-113.52,37.135
"11",1482.495,-113.48,37.16
"12",577.1,-113.37,37.23
"13",562.01,-113.35,37.248
"14",570.58,-113.32,37.27
"15",531.405,-113.3075,37.29
"16",429.515,-112.63,38.13
"17",445.605,-112.624615384615,38.1746153846154
"18",439.03,-112.657868852459,38.317868852459
"19",434.445,-112.66,38.39
"20",434.995,-112.644761904762,38.4252380952381
"21",432.315,-112.61,38.5442857142857
"22",342.2,-112.61,38.62
"23",355.14,-112.13,39.24
"24",774.19,-111.76,40.02
"25",956.4,-111.73,40.06
"26",1178.445,-111.7,40.085
"27",1327.385,-111.69,40.1
"28",1327.13,-111.68,40.11
"29",1339.125,-111.67,40.11
"30",1317.49,-111.67,40.12
"31",1264.97,-111.66,40.12
"32",1701.29,-111.65,40.1214285714286
"33",2153.155,-111.65,40.13
"34",2106.56,-111.65,40.14
"35",2122.755,-111.65,40.1439285714286
"36",2114.475,-111.65,40.16
"37",2497.355,-111.65,40.164
"38",2449.08,-111.65,40.17
"39",2527.605,-111.65,40.18
"40",2316.835,-111.65,40.18
"41",2635.835,-111.65,40.19
"42",2724.33,-111.65,40.2
"43",2400.51,-111.66,40.2
"44",2218.995,-111.66,40.21
"45",2269.995,-111.66,40.21
"46",2382.995,-111.67,40.22
"47",2440.645,-111.67,40.22
"48",2382.34,-111.68,40.23
"49",2232.6,-111.68,40.23
"50",2780.525,-111.69,40.24
"51",2791.525,-111.69,40.24
"52",2758.955,-111.695,40.24
"53",2778.51,-111.7,40.25
"54",2955.92,-111.7,40.2575
"55",2788.89,-111.701,40.26
"56",2771.81,-111.71,40.27
"57",2578.845,-111.72,40.27
"58",2751.925,-111.72,40.28
"59",3177.53,-111.73,40.28
"60",3142.77,-111.73,40.29
"61",3196.085,-111.73,40.3
"62",3295.855,-111.73,40.31
"63",3592.84,-111.73,40.312
"64",3646.615,-111.73,40.32
"65",3641.49,-111.734285714286,40.33
"66",3655.99,-111.748,40.338
"67",3559.875,-111.75,40.34
"68",3636.81,-111.76,40.34
"69",3673.905,-111.76,40.35
"70",3545.27,-111.77,40.35
"71",3724.66,-111.78,40.36
"72",3754.655,-111.79,40.36
"73",3704.58,-111.8,40.37
"74",3638.865,-111.8,40.37
"75",2879.135,-111.816,40.376
"76",2807.72,-111.82,40.38
"77",4525.75,-111.83,40.38
"78",4286.95,-111.83,40.38
"79",2626.96,-111.84,40.4
"80",2800.645,-111.85,40.4
"81",1139.905,-111.87,40.42
"82",3442.68,-111.9,40.44
"83",3470.135,-111.906,40.44
"84",3384.085,-111.91,40.45
"85",3547.92,-111.91,40.46
"86",3361.74,-111.91,40.46
"87",3380.56,-111.91,40.47
"88",3131.03,-111.9,40.48
"89",3547.055,-111.9,40.49
"90",3573.3,-111.89,40.49
"91",3569.09,-111.89,40.49
"92",3979.145,-111.89,40.52
"93",5529.635,-111.89,40.52
"94",3908,-111.89,40.53
"95",3899.495,-111.9,40.56
"96",4656.655,-111.9,40.59
"97",656.835,-111.91,40.6166666666667
"98",4455.92,-111.9,40.63
"99",6766.725,-111.9,40.63
"100",3330.95,-111.9,40.64
"101",5183.48,-111.9,40.66
"102",5749.305,-111.9,40.668
"103",5388.36,-111.9,40.67
"104",5519.6,-111.9,40.68
"105",5776.22,-111.9,40.68
"106",5783.015,-111.9,40.69
"107",5523.895,-111.9,40.7
"108",5102.07,-111.9,40.71
"109",2922.78,-111.9,40.7133333333334
"110",3451.325,-111.9,40.72
"111",3354.665,-111.9,40.74
"112",3928.15,-111.91,40.75
"113",2653.28,-111.91,40.76
"114",2830.64,-111.91,40.77
"115",2382.34,-111.91,40.786
"116",2530.835,-111.915,40.79
"117",2420.15,-111.92,40.79
"118",2555.545,-111.92,40.8077777777778
"119",2484.98,-111.92,40.81
"120",2401.815,-111.92,40.81
"121",2265.51,-111.92,40.82
"122",2450.27,-111.92,40.83
"123",2351.5,-111.92,40.83875
"124",3003.63,-111.92,40.84
"125",3026.515,-111.91,40.85
"126",3030.49,-111.91,40.8563636363636
"127",2627.34,-111.9,40.86
"128",2878.165,-111.9,40.87
"129",2897.415,-111.9,40.87
"130",2665.085,-111.9,40.88
"131",2532.79,-111.9,40.89
"132",2993.095,-111.89,40.91
"133",2973.025,-111.89,40.92
"134",2900.845,-111.89,40.929
"135",2906.935,-111.89,40.938
"136",2840.315,-111.89,40.95
"137",2936.735,-111.89,40.96
"138",2781.36,-111.89,40.97
"139",2655.24,-111.89,40.97
"140",2611.96,-111.9,40.98
"141",1886.955,-111.9025,40.99
"142",2623.56,-111.91,40.99
"143",2638.555,-111.92,41
"144",2610.56,-111.93,41.01
"145",2607.73,-111.94,41.02
"146",2624.28,-111.95,41.03
"147",2653.66,-111.95,41.04
"148",2680.75,-111.96,41.05
"149",2533.29,-111.96,41.06
"150",2521.155,-111.97,41.07
"151",2420.78,-111.98,41.08
"152",2419.905,-111.99,41.0809090909091
"153",2295.525,-111.99,41.09
"154",2348.315,-112,41.1
"155",2308.33,-112.01,41.11
"156",2352.67,-112.01,41.11
"157",2166.925,-112.02,41.12
"158",2127.56,-112.03,41.13
"159",2082.65,-112.03,41.13
"160",2240.905,-112.03,41.15
"161",2235.035,-112.02,41.16
"162",2147.055,-112.02,41.1693333333333
"163",1907.365,-112.02,41.18
"164",1784.975,-112.01,41.18
"165",2216.065,-112.0075,41.19
"166",2090.5,-111.99,41.2033333333333
"167",989.14,-112.01,41.23
"168",1673.195,-112.02,41.26
"169",1519.105,-112.03,41.29
