County,Abs_PM,Length,Latitude,Longitude
Washington,0.01,0.03,37.00,-113.62
Washington,0.01,0.05,37.00,-113.62
Washington,0.04,0.03,37.00,-113.62
Washington,0.06,0.07,37.00,-113.62
Washington,0.07,0.06,37.00,-113.62
Washington,0.13,0.08,37.00,-113.62
Washington,0.13,0.05,37.01,-113.62
Washington,0.18,0.03,37.01,-113.62
Washington,0.21,0.05,37.01,-113.62
Washington,0.21,0.04,37.00,-113.62
Washington,0.25,0.04,37.01,-113.62
Washington,0.26,0.10,37.01,-113.62
Washington,0.29,0.02,37.01,-113.62
Washington,0.31,0.06,37.01,-113.62
Washington,0.36,0.04,37.01,-113.62
Washington,0.37,0.04,37.01,-113.62
Washington,0.40,0.03,37.01,-113.62
Washington,0.41,0.08,37.01,-113.62
Washington,0.43,0.07,37.01,-113.62
Washington,0.49,0.11,37.01,-113.62
Washington,0.50,0.06,37.01,-113.62
Washington,0.56,0.06,37.01,-113.62
Washington,0.60,0.06,37.01,-113.62
Washington,0.62,0.10,37.01,-113.62
Washington,0.66,0.06,37.01,-113.62
Washington,0.72,0.08,37.01,-113.62
Washington,0.73,0.18,37.01,-113.61
Washington,0.80,0.02,37.01,-113.62
Washington,0.82,0.12,37.01,-113.62
Washington,0.90,0.12,37.02,-113.61
Washington,0.94,0.11,37.01,-113.61
Washington,1.03,0.15,37.02,-113.61
Washington,1.05,0.03,37.02,-113.61
Washington,1.09,0.04,37.02,-113.61
Washington,1.13,0.06,37.02,-113.61
Washington,1.18,0.20,37.02,-113.61
Washington,1.19,0.05,37.02,-113.61
Washington,1.24,0.06,37.02,-113.61
Washington,1.30,0.07,37.02,-113.61
Washington,1.37,0.09,37.02,-113.61
Washington,1.38,0.02,37.02,-113.61
Washington,1.40,0.09,37.02,-113.61
Washington,1.46,0.06,37.02,-113.61
Washington,1.49,0.13,37.02,-113.61
Washington,1.52,0.01,37.02,-113.61
Washington,1.54,0.09,37.02,-113.61
Washington,1.62,0.10,37.02,-113.61
Washington,1.62,0.04,37.02,-113.61
Washington,1.67,0.13,37.02,-113.61
Washington,1.72,0.10,37.03,-113.61
Washington,1.80,0.13,37.03,-113.61
Washington,1.81,0.04,37.03,-113.61
Washington,1.86,0.12,37.03,-113.60
Washington,1.93,0.07,37.03,-113.61
Washington,1.97,0.04,37.03,-113.60
Washington,2.00,0.11,37.03,-113.61
Washington,2.01,0.07,37.03,-113.60
Washington,2.08,0.08,37.03,-113.60
Washington,2.11,0.07,37.03,-113.60
Washington,2.16,0.15,37.03,-113.60
Washington,2.18,0.08,37.03,-113.60
Washington,2.25,0.08,37.03,-113.60
Washington,2.31,0.06,37.03,-113.60
Washington,2.33,0.09,37.03,-113.60
Washington,2.36,0.11,37.03,-113.60
Washington,2.42,0.09,37.03,-113.60
Washington,2.48,0.08,37.04,-113.60
Washington,2.52,0.10,37.03,-113.60
Washington,2.56,0.05,37.04,-113.60
Washington,2.61,0.03,37.04,-113.60
Washington,2.62,0.02,37.04,-113.60
Washington,2.64,0.03,37.04,-113.60
Washington,2.65,0.05,37.04,-113.60
Washington,2.67,0.04,37.04,-113.60
Washington,2.69,0.02,37.04,-113.60
Washington,2.71,0.03,37.04,-113.60
Washington,2.71,0.02,37.04,-113.60
Washington,2.73,0.05,37.04,-113.60
Washington,2.75,0.07,37.04,-113.60
Washington,2.78,0.01,37.04,-113.60
Washington,2.80,0.05,37.04,-113.60
Washington,2.82,0.10,37.04,-113.60
Washington,2.85,0.04,37.04,-113.60
Washington,2.89,0.04,37.04,-113.60
Washington,2.91,0.05,37.04,-113.60
Washington,2.92,0.08,37.04,-113.60
Washington,2.96,0.12,37.04,-113.59
Washington,3.00,0.08,37.04,-113.60
Washington,3.08,0.05,37.04,-113.59
Washington,3.08,0.08,37.04,-113.60
Washington,3.13,0.05,37.04,-113.59
Washington,3.17,0.06,37.04,-113.59
Washington,3.18,0.03,37.04,-113.59
Washington,3.21,0.06,37.04,-113.59
Washington,3.23,0.06,37.04,-113.59
Washington,3.27,0.02,37.04,-113.59
Washington,3.29,0.04,37.04,-113.59
Washington,3.29,0.07,37.05,-113.59
Washington,3.33,0.06,37.04,-113.59
Washington,3.36,0.06,37.05,-113.59
Washington,3.39,0.08,37.04,-113.59
Washington,3.41,0.06,37.05,-113.59
Washington,3.46,0.04,37.05,-113.59
Washington,3.47,0.06,37.05,-113.59
Washington,3.50,0.02,37.05,-113.59
Washington,3.52,0.02,37.05,-113.59
Washington,3.53,0.04,37.05,-113.59
Washington,3.54,0.04,37.05,-113.59
Washington,3.58,0.07,37.05,-113.59
Washington,3.58,0.04,37.05,-113.59
Washington,3.62,0.06,37.05,-113.59
Washington,3.65,0.07,37.05,-113.59
Washington,3.68,0.06,37.05,-113.59
Washington,3.72,0.06,37.05,-113.59
Washington,3.74,0.05,37.05,-113.59
Washington,3.78,0.06,37.05,-113.59
Washington,3.79,0.06,37.05,-113.59
Washington,3.84,0.07,37.05,-113.59
Washington,3.85,0.07,37.05,-113.59
Washington,3.91,0.06,37.05,-113.59
Washington,3.92,0.11,37.05,-113.59
Washington,3.97,0.05,37.05,-113.59
Washington,4.01,0.04,37.06,-113.59
Washington,4.02,0.09,37.05,-113.59
Washington,4.05,0.02,37.06,-113.59
Washington,4.07,0.02,37.06,-113.59
Washington,4.09,0.02,37.06,-113.59
Washington,4.11,0.05,37.06,-113.59
Washington,4.12,0.02,37.05,-113.59
Washington,4.13,0.05,37.05,-113.59
Washington,4.15,0.04,37.06,-113.59
Washington,4.18,0.04,37.06,-113.59
Washington,4.19,0.05,37.06,-113.59
Washington,4.22,0.03,37.06,-113.59
Washington,4.24,0.02,37.06,-113.59
Washington,4.25,0.04,37.06,-113.59
Washington,4.26,0.03,37.06,-113.59
Washington,4.29,0.03,37.06,-113.58
Washington,4.29,0.05,37.06,-113.59
Washington,4.32,0.03,37.06,-113.58
Washington,4.35,0.06,37.06,-113.59
Washington,4.36,0.02,37.06,-113.58
Washington,4.38,0.04,37.06,-113.58
Washington,4.40,0.05,37.06,-113.59
Washington,4.41,0.02,37.06,-113.58
Washington,4.43,0.04,37.06,-113.58
Washington,4.46,0.05,37.06,-113.58
Washington,4.47,0.04,37.06,-113.58
Washington,4.50,0.02,37.06,-113.58
Washington,4.51,0.01,37.06,-113.58
Washington,4.52,0.04,37.06,-113.58
Washington,4.52,0.04,37.06,-113.58
Washington,4.56,0.06,37.06,-113.58
Washington,4.56,0.04,37.06,-113.58
Washington,4.60,0.04,37.06,-113.58
Washington,4.61,0.05,37.06,-113.58
Washington,4.63,0.04,37.06,-113.58
Washington,4.66,0.08,37.06,-113.58
Washington,4.67,0.05,37.06,-113.58
Washington,4.72,0.05,37.06,-113.58
Washington,4.74,0.18,37.06,-113.58
Washington,4.77,0.02,37.06,-113.58
Washington,4.79,0.08,37.06,-113.58
Washington,4.87,0.02,37.06,-113.58
Washington,4.90,0.07,37.07,-113.58
Washington,4.91,0.08,37.07,-113.58
Washington,4.97,0.09,37.07,-113.58
Washington,5.00,0.02,37.07,-113.58
Washington,5.02,0.21,37.07,-113.58
Washington,5.05,0.10,37.07,-113.58
Washington,5.16,0.12,37.07,-113.58
Washington,5.23,0.23,37.07,-113.58
Washington,5.27,0.05,37.07,-113.58
Washington,5.32,0.11,37.07,-113.58
Washington,5.43,0.07,37.07,-113.58
Washington,5.45,0.05,37.08,-113.58
Washington,5.50,0.02,37.08,-113.58
Washington,5.50,0.09,37.07,-113.58
Washington,5.52,0.05,37.08,-113.58
Washington,5.56,0.04,37.08,-113.58
Washington,5.59,0.04,37.08,-113.59
Washington,5.60,0.09,37.08,-113.58
Washington,5.63,0.04,37.08,-113.59
Washington,5.66,0.05,37.08,-113.59
Washington,5.69,0.05,37.08,-113.58
Washington,5.71,0.02,37.08,-113.59
Washington,5.74,0.03,37.08,-113.59
Washington,5.74,0.01,37.08,-113.58
Washington,5.76,0.05,37.08,-113.58
Washington,5.76,0.02,37.08,-113.59
Washington,5.79,0.04,37.08,-113.59
Washington,5.81,0.04,37.08,-113.58
Washington,5.82,0.06,37.08,-113.58
Washington,5.85,0.03,37.08,-113.58
Washington,5.88,0.08,37.08,-113.58
Washington,5.88,0.02,37.08,-113.58
Washington,5.91,0.04,37.08,-113.58
Washington,5.95,0.04,37.08,-113.58
Washington,5.96,0.03,37.08,-113.58
Washington,5.98,0.06,37.08,-113.58
Washington,5.99,0.04,37.08,-113.58
Washington,6.03,0.03,37.08,-113.58
Washington,6.05,0.04,37.08,-113.58
Washington,6.06,0.04,37.08,-113.58
Washington,6.08,0.04,37.08,-113.58
Washington,6.10,0.03,37.08,-113.58
Washington,6.12,0.06,37.08,-113.58
Washington,6.13,0.02,37.08,-113.58
Washington,6.15,0.05,37.08,-113.58
Washington,6.19,0.07,37.09,-113.58
Washington,6.20,0.04,37.08,-113.58
Washington,6.24,0.02,37.08,-113.58
Washington,6.26,0.06,37.09,-113.58
Washington,6.26,0.03,37.08,-113.58
Washington,6.30,0.04,37.09,-113.58
Washington,6.31,0.03,37.09,-113.58
Washington,6.33,0.03,37.09,-113.58
Washington,6.34,0.07,37.09,-113.58
Washington,6.36,0.02,37.09,-113.58
Washington,6.38,0.04,37.09,-113.58
Washington,6.41,0.04,37.09,-113.58
Washington,6.41,0.05,37.09,-113.58
Washington,6.45,0.04,37.09,-113.58
Washington,6.46,0.03,37.09,-113.58
Washington,6.48,0.05,37.09,-113.58
Washington,6.49,0.01,37.09,-113.58
Washington,6.50,0.01,37.09,-113.58
Washington,6.50,0.04,37.09,-113.58
Washington,6.53,0.05,37.09,-113.58
Washington,6.55,0.03,37.09,-113.58
Washington,6.58,0.03,37.09,-113.58
Washington,6.59,0.02,37.09,-113.58
Washington,6.60,0.03,37.09,-113.58
Washington,6.61,0.04,37.09,-113.58
Washington,6.63,0.05,37.09,-113.58
Washington,6.65,0.04,37.09,-113.58
Washington,6.68,0.11,37.09,-113.58
Washington,6.68,0.02,37.09,-113.58
Washington,6.70,0.14,37.09,-113.58
Washington,6.79,0.05,37.09,-113.57
Washington,6.85,0.04,37.09,-113.57
Washington,6.85,0.05,37.09,-113.58
Washington,6.88,0.15,37.09,-113.57
Washington,6.90,0.07,37.09,-113.57
Washington,6.97,0.07,37.09,-113.57
Washington,7.03,0.08,37.09,-113.57
Washington,7.04,0.09,37.09,-113.57
Washington,7.11,0.08,37.09,-113.57
Washington,7.13,0.21,37.09,-113.57
Washington,7.19,0.08,37.09,-113.57
Washington,7.27,0.02,37.10,-113.57
Washington,7.29,0.07,37.10,-113.57
Washington,7.34,0.04,37.09,-113.57
Washington,7.35,0.04,37.10,-113.57
Washington,7.38,0.06,37.10,-113.57
Washington,7.39,0.04,37.10,-113.56
Washington,7.43,0.03,37.10,-113.56
Washington,7.44,0.04,37.10,-113.57
Washington,7.47,0.04,37.10,-113.56
Washington,7.48,0.02,37.10,-113.57
Washington,7.50,0.02,37.10,-113.57
Washington,7.51,0.04,37.10,-113.56
Washington,7.52,0.04,37.10,-113.57
Washington,7.55,0.02,37.10,-113.56
Washington,7.56,0.06,37.10,-113.56
Washington,7.57,0.05,37.10,-113.56
Washington,7.61,0.04,37.10,-113.56
Washington,7.62,0.04,37.10,-113.56
Washington,7.65,0.04,37.10,-113.56
Washington,7.66,0.04,37.10,-113.56
Washington,7.69,0.03,37.10,-113.56
Washington,7.70,0.04,37.10,-113.56
Washington,7.73,0.06,37.10,-113.56
Washington,7.74,0.04,37.10,-113.56
Washington,7.77,0.04,37.10,-113.56
Washington,7.79,0.05,37.10,-113.56
Washington,7.81,0.04,37.10,-113.56
Washington,7.84,0.05,37.10,-113.56
Washington,7.85,0.04,37.10,-113.56
Washington,7.89,0.05,37.10,-113.56
Washington,7.89,0.03,37.10,-113.56
Washington,7.93,0.05,37.10,-113.56
Washington,7.94,0.03,37.10,-113.56
Washington,7.97,0.08,37.10,-113.56
Washington,7.98,0.07,37.10,-113.56
Washington,8.05,0.10,37.11,-113.56
Washington,8.05,0.08,37.10,-113.56
Washington,8.13,0.10,37.10,-113.56
Washington,8.14,0.06,37.11,-113.56
Washington,8.20,0.03,37.11,-113.56
Washington,8.23,0.05,37.11,-113.56
Washington,8.23,0.05,37.11,-113.56
Washington,8.27,0.07,37.11,-113.56
Washington,8.28,0.06,37.11,-113.56
Washington,8.34,0.02,37.11,-113.56
Washington,8.34,0.05,37.11,-113.56
Washington,8.37,0.06,37.11,-113.56
Washington,8.39,0.03,37.11,-113.56
Washington,8.42,0.03,37.11,-113.56
Washington,8.42,0.06,37.11,-113.56
Washington,8.45,0.03,37.11,-113.56
Washington,8.48,0.04,37.11,-113.56
Washington,8.48,0.05,37.11,-113.56
Washington,8.51,0.05,37.11,-113.56
Washington,8.53,0.05,37.11,-113.56
Washington,8.56,0.05,37.11,-113.56
Washington,8.57,0.03,37.11,-113.56
Washington,8.61,0.02,37.11,-113.56
Washington,8.61,0.03,37.11,-113.56
Washington,8.63,0.03,37.11,-113.56
Washington,8.64,0.04,37.11,-113.56
Washington,8.65,0.04,37.11,-113.56
Washington,8.68,0.03,37.11,-113.56
Washington,8.69,0.03,37.11,-113.56
Washington,8.71,0.06,37.11,-113.56
Washington,8.72,0.04,37.11,-113.56
Washington,8.76,0.03,37.11,-113.55
Washington,8.76,0.06,37.11,-113.56
Washington,8.79,0.02,37.11,-113.55
Washington,8.81,0.03,37.11,-113.55
Washington,8.82,0.02,37.11,-113.56
Washington,8.83,0.05,37.12,-113.55
Washington,8.84,0.05,37.11,-113.56
Washington,8.88,0.03,37.12,-113.55
Washington,8.89,0.02,37.11,-113.56
Washington,8.91,0.03,37.11,-113.55
Washington,8.91,0.05,37.12,-113.55
Washington,8.94,0.02,37.11,-113.55
Washington,8.95,0.04,37.12,-113.55
Washington,8.96,0.05,37.12,-113.55
Washington,8.99,0.04,37.12,-113.55
Washington,9.01,0.03,37.12,-113.55
Washington,9.03,0.09,37.12,-113.55
Washington,9.04,0.03,37.12,-113.55
Washington,9.06,0.05,37.12,-113.55
Washington,9.11,0.05,37.12,-113.55
Washington,9.11,0.04,37.12,-113.55
Washington,9.15,0.07,37.12,-113.55
Washington,9.16,0.04,37.12,-113.55
Washington,9.19,0.05,37.12,-113.55
Washington,9.22,0.10,37.12,-113.55
Washington,9.24,0.16,37.12,-113.55
Washington,9.31,0.21,37.12,-113.55
Washington,9.40,0.04,37.12,-113.55
Washington,9.44,0.08,37.12,-113.55
Washington,9.52,0.09,37.12,-113.54
Washington,9.53,0.12,37.12,-113.55
Washington,9.61,0.08,37.12,-113.54
Washington,9.65,0.05,37.12,-113.54
Washington,9.69,0.06,37.12,-113.54
Washington,9.70,0.09,37.12,-113.54
Washington,9.75,0.03,37.12,-113.54
Washington,9.77,0.12,37.12,-113.54
Washington,9.79,0.35,37.12,-113.54
Washington,9.89,0.05,37.12,-113.54
Washington,9.95,0.04,37.12,-113.54
Washington,9.99,0.06,37.12,-113.54
Washington,10.05,0.06,37.12,-113.53
Washington,10.11,0.05,37.12,-113.53
Washington,10.13,0.04,37.12,-113.54
Washington,10.16,0.05,37.12,-113.53
Washington,10.17,0.05,37.12,-113.53
Washington,10.21,0.04,37.12,-113.53
Washington,10.23,0.07,37.12,-113.53
Washington,10.25,0.02,37.12,-113.53
Washington,10.27,0.11,37.13,-113.53
Washington,10.30,0.02,37.12,-113.53
Washington,10.32,0.06,37.12,-113.53
Washington,10.38,0.03,37.13,-113.53
Washington,10.38,0.07,37.13,-113.53
Washington,10.40,0.11,37.13,-113.53
Washington,10.45,0.10,37.13,-113.53
Washington,10.51,0.10,37.13,-113.53
Washington,10.55,0.07,37.13,-113.53
Washington,10.61,0.05,37.13,-113.53
Washington,10.62,0.06,37.13,-113.53
Washington,10.67,0.28,37.13,-113.53
Washington,10.68,0.05,37.13,-113.53
Washington,10.72,0.07,37.13,-113.53
Washington,10.79,0.03,37.13,-113.53
Washington,10.82,0.26,37.13,-113.53
Washington,10.95,0.06,37.13,-113.52
Washington,11.01,0.02,37.13,-113.52
Washington,11.03,0.07,37.13,-113.52
Washington,11.08,0.08,37.13,-113.52
Washington,11.10,0.03,37.13,-113.52
Washington,11.13,0.03,37.13,-113.52
