Station,Postmile (Abs),Freeway,Direction,Minimum,Mean,Maximum,# Lane Points,% Observed
790.00,1.69,15.00,N,4.00,516.56,"1,775.00",210792,97.30
792.00,3.06,15.00,N,10.00,670.81,"2,013.00",210792,97.30
793.00,5.30,15.00,N,54.00,"1,156.47","2,993.00",316188,97.30
791.00,5.59,15.00,N,4.00,866.79,"2,353.00",316188,97.80
"2,791.00",5.59,15.00,N,0.00,282.84,800.00,105396,97.80
801.00,5.86,15.00,N,5.00,608.87,"1,760.00",210792,97.80
"1,801.00",5.86,15.00,N,0.00,188.42,822.00,105396,97.80
"2,801.00",5.86,15.00,N,0.00,265.93,757.00,210792,97.80
794.00,6.80,15.00,N,47.00,957.42,"2,622.00",210792,97.30
750.00,8.41,15.00,N,47.00,967.31,"2,604.00",316188,97.20
749.00,9.08,15.00,N,59.00,"1,196.24","3,286.00",421584,97.10
795.00,9.47,15.00,N,57.00,"1,189.56","3,283.00",316188,97.30
748.00,11.38,15.00,N,64.00,"1,089.60","3,219.00",210792,97.20
746.00,14.02,15.00,N,60.00,"1,042.75","3,249.00",316188,97.30
"7,500.00",22.19,15.00,N,28.00,552.50,"2,599.00",316188,95.70
"7,502.00",23.61,15.00,N,30.00,555.48,"2,637.00",316188,95.70
"7,504.00",26.32,15.00,N,32.00,571.13,"2,867.00",316188,95.70
"7,506.00",27.51,15.00,N,30.00,529.48,"2,847.00",316188,95.60
"5,001.00",99.70,15.00,N,8.00,422.34,"2,520.00",316188,94.10
"5,003.00",101.32,15.00,N,0.00,445.07,"2,531.00",316188,97.60
"5,005.00",103.28,15.00,N,5.00,444.36,"2,522.00",210792,97.80
"3,103,233.00",113.28,15.00,N,28.00,434.25,"2,737.00",210792,97.70
"3,103,237.00",118.42,15.00,N,26.00,433.11,"2,634.00",210792,98.10
"3,103,235.00",121.04,15.00,N,25.00,435.45,"2,685.00",316188,98.00
"5,009.00",122.09,15.00,N,1.00,431.63,"2,671.00",316188,98.10
"5,013.00",125.01,15.00,N,2.00,433.10,"2,701.00",316188,98.10
"3,103,239.00",130.11,15.00,N,4.00,430.70,"2,698.00",210792,98.10
"3,103,241.00",135.33,15.00,N,3.00,343.26,"2,421.00",210792,98.10
"5,601.00",187.02,15.00,N,12.00,353.56,"2,487.00",210792,97.90
646.00,248.18,15.00,N,49.00,796.99,"3,112.00",210792,98.10
644.00,251.00,15.00,N,49.00,983.61,"3,434.00",316188,95.40
642.00,253.58,15.00,N,66.00,"1,198.13","3,746.00",316188,98.10
640.00,255.00,15.00,N,37.00,"1,334.77","3,966.00",316188,98.20
"3,103,171.00",255.51,15.00,N,0.00,"1,299.04","3,846.00",316188,98.20
"3,103,173.00",256.15,15.00,N,0.00,"1,314.42","3,866.00",316188,98.20
"3,103,230.00",256.50,15.00,N,0.00,"1,296.01","3,790.00",316188,98.20
"3,103,229.00",257.02,15.00,N,4.00,"1,053.82","3,315.00",316188,97.90
"23,103,229.00",257.02,15.00,N,0.00,161.23,666.00,105396,98.10
"3,103,228.00",257.45,15.00,N,0.00,"1,065.96","3,340.00",316188,98.20
"13,103,228.00",257.45,15.00,N,0.00,424.65,"1,154.00",105396,98.20
"23,103,228.00",257.45,15.00,N,0.00,130.40,387.00,105396,98.20
"3,103,227.00",257.92,15.00,N,104.00,"1,876.86","5,002.00",421584,96.70
"993,103,227.00",257.92,15.00,N,0.00,276.68,"1,501.00",105396,96.60
"3,103,226.00",258.60,15.00,N,106.00,"1,908.33","5,217.00",421584,94.50
"993,103,226.00",258.60,15.00,N,0.00,201.30,"1,352.00",105396,94.40
"3,103,225.00",259.03,15.00,N,104.00,"1,938.91","5,273.00",421584,96.20
"993,103,225.00",259.03,15.00,N,0.00,203.15,"1,375.00",105396,96.10
"3,103,224.00",259.70,15.00,N,94.00,"1,680.80","4,870.00",421584,87.00
"23,103,224.00",259.70,15.00,N,0.00,235.64,635.00,105396,87.00
"993,103,224.00",259.70,15.00,N,0.00,206.35,"1,393.00",105396,86.90
"13,103,223.00",260.11,15.00,N,0.00,638.73,"1,767.00",316188,81.40
"3,103,223.00",260.20,15.00,N,90.00,"1,695.45","4,935.00",421584,90.90
"33,103,223.00",260.20,15.00,N,0.00,623.28,"1,882.00",210792,90.80
"993,103,223.00",260.20,15.00,N,0.00,192.27,"1,298.00",105396,90.80
"3,103,222.00",260.65,15.00,N,61.00,"2,270.86","6,279.00",421584,98.10
"993,103,222.00",260.65,15.00,N,0.00,132.87,"1,044.00",105396,98.00
"3,103,221.00",261.10,15.00,N,121.00,"2,354.22","6,508.00",421584,97.80
"993,103,221.00",261.10,15.00,N,0.00,197.34,"1,337.00",105396,98.00
"3,103,220.00",261.55,15.00,N,114.00,"2,317.90","6,232.00",421584,97.70
"23,103,220.00",261.55,15.00,N,0.00,138.68,441.00,105396,98.10
"993,103,220.00",261.55,15.00,N,0.00,229.58,"1,394.00",105396,98.10
"13,103,219.00",262.00,15.00,N,0.00,292.91,928.00,210792,74.90
"3,103,219.00",262.10,15.00,N,109.00,"2,226.70","6,130.00",421584,97.90
"33,103,219.00",262.10,15.00,N,0.00,265.81,852.00,105396,98.10
"993,103,219.00",262.10,15.00,N,0.00,116.96,895.00,105396,98.10
"3,103,218.00",262.55,15.00,N,134.00,"2,526.48","6,800.00",526980,97.90
"993,103,218.00",262.55,15.00,N,0.00,211.76,"1,334.00",105396,97.80
"3,103,217.00",263.10,15.00,N,111.00,"2,063.32","5,693.00",421584,98.10
"23,103,217.00",263.10,15.00,N,0.00,419.27,"1,173.00",105396,98.20
"993,103,217.00",263.10,15.00,N,0.00,198.45,"1,308.00",105396,98.10
698.00,263.39,15.00,N,2.00,"1,844.09","4,985.00",421584,98.20
"99,698.00",263.39,15.00,N,0.00,195.49,"1,308.00",105396,98.10
"3,103,216.00",263.65,15.00,N,107.00,"1,948.80","5,068.00",421584,95.70
"993,103,216.00",263.65,15.00,N,0.00,190.66,"1,138.00",105396,95.60
"13,103,216.00",263.68,15.00,N,0.00,409.34,"1,328.00",210792,82.60
"3,103,215.00",264.15,15.00,N,114.00,"2,259.89","5,809.00",421584,98.10
"993,103,215.00",264.15,15.00,N,0.00,189.45,"1,232.00",105396,98.10
"3,103,214.00",264.54,15.00,N,118.00,"2,274.09","5,812.00",421584,97.40
"993,103,214.00",264.54,15.00,N,0.00,194.26,"1,235.00",105396,97.30
"3,103,213.00",265.05,15.00,N,108.00,"1,988.37","5,249.00",421584,97.70
"23,103,213.00",265.05,15.00,N,0.00,242.89,755.00,105396,96.10
"993,103,213.00",265.05,15.00,N,0.00,191.76,"1,273.00",105396,97.60
"3,103,212.00",265.36,15.00,N,111.00,"2,071.91","5,303.00",421584,98.20
"23,103,212.00",265.36,15.00,N,0.00,106.87,325.00,105396,98.20
"993,103,212.00",265.36,15.00,N,0.00,211.91,"1,272.00",105396,97.70
"13,103,211.00",265.77,15.00,N,5.00,681.93,"1,862.00",316188,87.60
"3,103,211.00",265.97,15.00,N,133.00,"2,604.49","6,750.00",526980,98.10
"993,103,211.00",265.97,15.00,N,0.00,184.44,"1,176.00",105396,98.10
"3,103,210.00",266.27,15.00,N,128.00,"2,602.92","6,743.00",421584,98.20
"993,103,210.00",266.27,15.00,N,0.00,193.25,"1,248.00",105396,98.10
"3,103,209.00",266.54,15.00,N,129.00,"2,611.53","6,725.00",421584,98.20
